last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Vayalappil                    Muraleedharan Chirathodi,,,Transactions of the Indian National Academy of Engineering,Springer Singapore,"Establishment of biosafety level-3 (BSL-3) laboratory: important criteria to consider while designing, constructing, commissioning and operating the facility in Indian setting",Neelakandan,8,,2014
Mo                    Youfang,,,Translational Pediatrics,AME Publishing Company,Quantitative analysis of vowel production in cerebral palsy children with dysarthria.,Xue                    Jinjun,2,,2019
de Boer                    W.F.,           Pets and Companion Animals          ,,PLoS ONE,Champman and Hall/CRC Press,Occurrence of anti-,Benitez                    Aline do Nascimento,12,,2004
Thompson                    Fabiano L.,,,Frontiers in Microbiology,Springer-Verlag,A proteomic analysis of prenatal transfer of microcystin-LR induced neurotoxicity in rat offspring.,Walter                    Juline M.,13,,2015
Shu,,,Neuroscience Bulletin,The MIT Press,Changes in cholecystokinin mRNA expression after amygdala kindled seizures: an in situ hybridization study,Zhu                    Qiyu,10,,1996
Jin                    Dong-Yan,            Sequence Motif Analysis           ,,PLoS ONE,Public Library of Science,Extracellular signal-regulated kinase 8-mediated NF-kappaB activation increases sensitivity of human lung cancer cells to arsenic trioxide,Cai                    Na-Li,9,,2017
Kalk                    Emma K.,         Public and Occupational Health        ,,PLoS ONE,Public Library of Science,Acceptance letter,Laryea                    Eunice Baiden,14,,2011
Wu                    Xifeng,,,PLoS ONE,Public Library of Science,"Diabetes in Asia: epidemiology, risk factors, and pathophysiology",Bao                    Ping-Ping,10,,2009
Reichenberger                    Ernst J.,        Report       ,,Stem Cell Reports,Elsevier,Ontogeny-associated changes in the cytokine responses of primitive human haemopoietic cells,Chen                    I-Ping,5,,1998
Chen                    Yen-Lin,,,Annals of Saudi Medicine,King Faisal Specialist Hospital and Research Centre,"Results of Expert Meetings: Obesity and Cardiovascular Disease. Obesity, the metabolic syndrome, and cardiovascular disease",Lin                    Jiunn-Diann,6,,2001
Cobb                    Kathryn W,        Medical Simulation       ,,Cureus,Cureus,A multidisciplinary basic airway skills boot camp for novice trainees,Muacevic                    Alexander,7,,2020
Gazit                    Ehud,        Developmental Biology/Aging       ,,PLoS ONE,Adler's Physiology of the Eye. Mosby Inc,Retrospective birth dating of cells in humans.,Lynnerup                    Niels,6,"Tel Aviv University, Israel",2005
Zhao                    Qianqian,,,BMC Health Services Research,Beijing: China Plan Press,New Rural Cooperative Medical System in China: the main contradiction and the outstanding problems,Pan                    Xilong,5,,2009
Mittal                    Ravinder K,,,Journal of Neurogastroenterology and Motility,Korean Society of Neurogastroenterology and Motility,Effect of amiloride on experimental acid-induced heartburn in non-erosive reflux disease,Lee                    Robert H,5,,2013
Dalle Carbonare                    Luca G.,,,Biomedicines,MDPI,Adiponectin stimulates human osteoblasts proliferation and differentiation via the MAPK signaling pathway,Nimiritsky                    Peter,15,,2005
Sabzghabaee                    Ali Mohammad,,,Journal of Research in Pharmacy Practice,Medknow Publications & Media Pvt Ltd,Management of adverse events in the treatment of patients with immunoglobulin therapy: A review of evidence,Fakhari                    Zeinab,3,,2016
Kim                    Ju Hyun,,,The Korean Journal of Internal Medicine,Ministry of Heath and Welfare,Microvascular invasion is a better predictor of tumor recurrence and overall survival following surgical resection for hepatocellular carcinoma compared to the Milan criteria,Park                    Sung Keun,10,,2011
Guadagni                    Fiorella,        Original Contribution       ,,Basic Research in Cardiology,Springer Berlin Heidelberg,ATP-sensitive potassium channels: metabolic sensing and cardioprotection,Fedele                    Francesco,10,,2007
Wurtele,,,JCI Insight,American Society for Clinical Investigation,SAINT: probabilistic scoring of affinity purification-mass spectrometry data,McQuaid,29,,2011
Talwar                    Anjana,,,International Journal of Chronic Obstructive Pulmonary Disease,Dove,TNF receptor agonists induce distinct receptor clusters to mediate differential agonistic activity,Trivedi                    Anjali,6,,2021
Gardner                    Anne,,,BMC Family Practice,Elsevier,Nurse autonomy as relational,Schadewaldt,4,,2002
Cerutti                    Janete M.,,,Oncotarget,Impact Journals LLC,"Abi1, a critical molecule coordinating actin cytoskeleton reorganization with PI-3 kinase and growth signaling",Moraes                    Lais,3,,2012
den Daas                    Chantal,        Practice of Epidemiology       ,,American Journal of Epidemiology,R Foundation for Statistical Computing,The role of risk proximity in the beliefs and behaviors related to mosquito-borne diseases: the case of Chikungunya in French Guiana,van Wees,9,,2017
Kohriyama                    Tatsuo,,,Internal Medicine,The Japanese Society of Internal Medicine,2019 ESC/EAS guidelines for the management of dyslipidaemias: lipid modification to reduce cardiovascular risk,Miyamoto                    Yoshinori,4,,2020
Chen                    Zhiwei,,,Clinical and Translational Medicine,John Wiley and Sons Inc.,TLR4(+)CXCR4(+) plasma cells drive nephritis development in systemic lupus erythematosus,Cao                    Tianyu,25,,2018
Kafoa                    Berlin,,,The Lancet Regional Health: Western Pacific,The World Bank,Measuring the health systems impact of disease control programmes: a critical reflection on the WHO building blocks framework,Cox                    Megan,11,,2014
Timmermans                    Harry,,,International Journal of Environmental Research and Public Health,MDPI,Influence of a walking program on the metabolic risk profile of obese postmenopausal women,Grazuleviciene                    Regina,11,,2009
Chan                    Timothy A.,        Original article       ,,"Neoplasia (New York, N.Y.)",Neoplasia Press,CD24 signalling through macrophage Siglec-10 is a target for cancer immunotherapy,Haddock                    Sara,16,,2019
Ashour                    Hossam M.,           Clinical Trials (Cancer Treatment)          ,,PLoS ONE,Public Library of Science,"High Cleavage Efficiency of a 2A Peptide Derived from Porcine Teschovirus-1 in Human Cell Lines, Zebrafish and Mice",Singh                    Harjeet,15,,2011
Zhao                    Fuhai,,,Journal of Translational Internal Medicine,Sciendo,Taoren Honghua drug attenuates atherosclerosis and plays an anti-inflammatory role in ApoE Knock-Out Mice and RAW264.7 Cells,Song                    Boce,6,,2020
Kronenberg                    Florian,        Diabetes and Endocrinology/Type 2 Diabetes       ,,PLoS ONE,Public Library of Science,Significant association of a M129V independent polymorphism in the 5′ UTR of the PRNP gene with sporadic Creutzfeldt-Jakob disease in a large German case-control study.,Hinney                    Anke,13,"Innsbruck Medical University, Austria",2006
Zhao,,,Oncogene,Nature Publishing Group UK,On-beads digestion in conjunction with data-dependent mass spectrometry: a shortcut to quantitative and dynamic interaction proteomics,Tian                    Lusong,13,,2014
Schumann                    Moritz,,,Integrative Cancer Therapies,Wiley,Psycho-educational and rehabilitative intervention for cancer cachexia (PRICC),Niels,4,,2019
Bellizzi                    Dina,,,Aging (Albany NY),Impact Journals,A simple sequentially rejective multiple test procedure.,D’Aquila                    Patrizia,6,,1979
Raab                    Gillian,,,BMC Public Health,", SAS Institute Inc., Cary, NC","Teenagers' use of sexual health services: perceived need, knowledge and ability to access",Henderson                    Marion,5,,2004
Lu                    Shun,,,Thoracic Cancer,IARC,"Phase II, open‐label, single‐arm trial of imatinib mesylate in patients with metastatic melanoma harboring c‐kit mutation or amplification",Zhou                    Zhen,11,,2011
Khan                    Sanaullah,        Review       ,,Virology Journal,San Diego: Academic,Epidemiologic and clinical characteristics of rabies in cats,Yousaf                    Muhammad Zubair,6,,1993
Stateczny                    Andrzej,,,"Sensors (Basel, Switzerland)",Springer,"Jobs Admin. How to Treat Overfitting in Convolutional Neural Networks, 7 September 2020",Trinh Van,5,,2017
Ba                    Yi,,,Molecular Therapy Oncolytics,American Society of Gene & Cell Therapy,"Exosomes in gastric cancer: roles, mechanisms, and applications",Zhou                    Zhengyang,9,,2019
Kuo                    Pao-Lin,,,International Journal of Molecular Sciences,MDPI,The Role of Macrophages in Promoting and Maintaining Homeostasis at the Fetal-Maternal Interface,Tsai                    Pei-Yin,4,,2015
Muñoz-Ferreras                    José-María,,,"Sensors (Basel, Switzerland)",MDPI,Rolling resistance and propulsion efficiency of manual and power-assisted wheelchairs,Nam                    Ki-Tae,8,"Korea Orthopedics & Rehabilitation Engineering Center, 26, Gyeongin-ro 10beon-gil, Bupyeong-gu, Incheon 21417, Korea;",2015
Perry,         Anthropology        ,,Proceedings of the National Academy of Sciences of the United States of America,Springer,Multidimensional scaling for large genomic data sets,Marciniak,41,,2005
van Vliet                    Sandra J.,,,Cancers,MDPI,MSCs inhibit monocyte-derived DC maturation and function by selectively interfering with the generation of immature DCs: Central role of MSC-derived prostaglandin E2,Kang,16,,2009
Atoyebi,        Review       ,,International Journal of Neonatal Screening,MDPI,Utilising the ‘Getting to Outcomes,Inusa,7,,2018
Santos                    Janine,           Genetic Polymorphism          ,,PLoS ONE,Public Library of Science,A germline polymorphism of DNA polymerase Beta induces genomic instability and cellular transformation,Illuzzi                    Jennifer L.,8,,2012
Milella                    Marco,,,Biology,Missouri Archaeological Society Springfield,Illuminating the flesh of bone identification—An application of near infrared spectroscopy,Schmidt                    Verena Maria,14,,2018
Guo                    Wei,,,Journal of Cellular and Molecular Medicine,John Wiley and Sons Inc.,"Talen‐mediated girdin knockout downregulates cell proliferation, migration and invasion in human esophageal carcinoma ECA109 cells",Feng                    Bo,10,,2014
Frishman                    Laura,            Optic Disc           ,,PLoS ONE,Public Library of Science,Prevalence and progression of myopic retinopathy in Chinese adults: The Beijing Eye Study,Guo                    Yin,8,,2010
Alnajjar                    Fady,,,Neural Computing & Applications,IGI Global,Multiscale amplitude feature and significance of enhanced vocal tract information for emotion classification,Ibrahim                    Hemin,3,,2019
Kamak                    Hanife,,,Applied Bionics and Biomechanics,Blackwell Munksgaard,Re-attachment of anterior fractured teeth: fracture strength using different materials,Yikilgan,6,,2002
Johansson                    A.,,,Journal of Periodontal Research,Carol Stream: Quintessence Publ Co Inc,Foreign body reaction to biomaterials: on mechanisms for buildup and breakdown of osseointegration,Pettersson                    M.,6,,2016
Jin                    Zi-Bing,,,Stem Cell Reports,Elsevier,Generation of human induced pluripotent stem cells from urine samples,Deng                    Wen-Li,13,,2012
Li                    Jie,,,Oncology Reports,D.A. Spandidos,Bcl-2 silencing attenuates hypoxia-induced apoptosis resistance in pulmonary microvascular endothelial cells,Wang                    Xin,8,"Department of General Surgery, Qianfoshan Hospital Affiliated to Shandong University, Jinan, Shandong 250014, P.R. China",2016
Xu                    Zhengping,,,Molecular Therapy. Nucleic Acids,American Society of Gene & Cell Therapy,A sensitive non-radioactive northern blot method to detect small RNAs,Weng                    Chunhua,9,,2010
Dembińska-Kieć                    Aldona,,,Molecular Medicine,BioMed Central,Therapeutic FGF19 promotes HDL biogenesis and transhepatic cholesterol efflux to prevent atherosclerosis,Płatek,12,,2019
Fay                    Justin C.,        Genetics and Genomics/Population Genetics       ,,PLoS ONE,Butterworth,BodyMap-Xs: anatomical breakdown of 17 million animal ESTs for cross-species comparison of gene expression.,Ogasawara                    Osamu,3,"Washington University, United States of America",2006
Noguchi                    Kazuyuki,,,Archives of Oral Biology,Elsevier Ltd.,"A novel coronavirus from patients with pneumonia in China, 2019",Sena                    Kotaro,4,"Department of Periodontology, Graduate School of Medical and Dental Sciences, Kagoshima University, Kagoshima, Japan",2020
Valenta                    Rudolf,         Methods        ,,Frontiers in Immunology,Frontiers Media S.A.,Human Memory B Cells Originate From Three Distinct Germinal Center-Dependent and -Independent Maturation Pathways,Zghaebi                    Mohammed,13,,2011
Guo                    Z.,,,BMC Nephrology,BioMed Central,The value of admission glycosylated hemoglobin level in patients with acute myocardial infarction,Zhang                    H.,9,,2008
Kitaoka                    Takashi,        Original Study       ,,"Retina (Philadelphia, Pa.)",Retina,Alteration of choroidal circulation in the foveal region in patients with type 2 diabetes,Matsumoto                    Makiko,6,"Department of Ophthalmology and Visual Sciences, Graduate School of Biomedical Sciences, Nagasaki University, Nagasaki, Japan.",2004
Jan                    Yih-Kuen,          Patients         ,,PLoS ONE,John Wiley & Sons,Can molecular DNA-based techniques unravel the truth about diabetic foot infections?,Jia                    Limin,10,,2016
Yang,,,Cell Death Discovery,Nature Publishing Group UK,miR-125b-1-3p inhibits trophoblast cell invasion by targeting sphingosine-1-phosphate receptor 1 in preeclampsia,Li                    Qinghua,12,,2014
Narciss                    Susanne,,,Frontiers in Psychology,Springer,The effectiveness of self-regulated learning scaffolds on academic performance in computer-based learning environments: a meta-analysis.,Wortha                    Franz,4,,2016
Medvedev                    Svyatoslav,,,Scientific Reports,Wiley,Analysis of a large fMRI cohort: statistical and methodological issues for group analyses,Zheltyakova                    Maya,4,,2007
Zhang                    Xin,,,OncoTargets and therapy,Dove,Sirt1 AS lncRNA interacts with its mRNA to inhibit muscle formation by attenuating function of miR-34a,Yuan                    Shanshan,8,,2016
Ohyashiki                    Kazuma,        Short Report       ,,Immunity & Ageing : I & A,BioMed Central,Impact on cell to plasma ratio of miR-92a in patients with acute leukemia: in vivo assessment of cell to plasma ratio of miR-92a,Ohyashiki                    Michiyo,5,,2010
Reis                    Flávio,        Original Investigation       ,,Cardiovascular Diabetology,BioMed Central,Severity of coronary artery disease in postmenopausal diabetic women,Mascarenhas-Melo                    Filipa,9,,2008
Mitra                    Kunal,,,Micromachines,MDPI,Electrochemicolor imaging using an LSI-based device for multiplexed cell assays,Akasaka                    Rise,6,,2017
Mattei                    Fabrizio,,,PLoS ONE,Public Library of Science,Characterization of cells prepared by dendritic cell-tumor cell fusion,Zhang                    Yunfei,6,,2002
Pruna                    Alina,,,Materials,Elsevier,"Electrochemical behavior of atenolol, carvedilol and propranolol on copper-oxide nanoparticles",Bargiel                    Izabela,6,"Department of Analytical Chemistry and Biochemistry, Faculty of Materials Science and Ceramics, AGH University of Science and Technology, Al. Mickiewicza, 30-059 Kraków, Poland;",2011
Pietropaolo                    Massimo,           Thyroid          ,,PLoS ONE,Public Library of Science,Targeted disruption of the galectin-3 gene results in decreased susceptibility to multiple low dose streptozotocin-induced diabetes in mice,Haseda                    Fumitaka,12,,2009
Bromberg                    Yana,,,MicrobiologyOpen,Academic Press,Functional sequencing read annotation for high precision microbiome analysis,Zhu                    Chengsheng,9,,2018
Marr                    Carsten,,,iScience,Springer,Three-dimensional virtual refocusing of fluorescence microscopy images using deep learning,Waibel                    Dominik J.E.,6,,2014
Froldi                    Guglielmina,        Review       ,,Molecules,Elsevier,Spectrophotometric Determination of Selenium Through Triiodide Anion,Bjørklund,8,,2017
Nierman                    William C,,,BMC Genomics,"Boston, Dordrecht, London, Kluwer Academic Press",Phylogenetic analysis using PHYLIP,Fedorova                    Natalie D,5,,2000
Williams                    Mark L.,        Original Paper       ,,AIDS and Behavior,Wiley,A comparison of sexual behavior patterns among men who have sex with men and heterosexual men and women,Fujimoto                    Kayo,2,,2012
Lu                    Zheng,,,BMC Psychiatry,"Biometrics Research, New York State Psychiatric Institute",On the historical and conceptual background of the Wisconsin Card Sorting Test,Yang                    Chengqing,14,,2008
Hosein-Soroush                    Mohammad,         Operative Dentistry and Endodontics        ,,Journal of Clinical and Experimental Dentistry,Medicina Oral S.L.,Relationship between mass transfer coefficient and liquid flow velocity in heterogenous biofilms using microelectrodes and confocal microscopy,Froughreyhani                    Mohammad,4,,1997
Drexler                    Hans G.,,,Oncotarget,DSMZ,TFClass: an expandable hierarchical classification of human transcription factors,Nagel                    Stefan,6,,2013
Eibl                    Dieter,,,Stem Cells International,InTech,Aggregation of human mesenchymal stromal cells (MSCs) into 3D spheroids enhances their antiinflammatory properties,Jossen                    Valentin,7,,2010
Noël                    Danièle,,,Frontiers in Immunology,Frontiers Media S.A.,Marked improvement of severe progressive systemic sclerosis after transplantation of mesenchymal stem cells from an allogeneic haploidentical-related donor mediated by ligation of CD137L,Fonteneau                    Guillaume,9,,2008
Jones                    Chris,        Pathology/Neuropathology       ,,PLoS ONE,Springer,Control of oligodendrocyte differentiation by the Nkx2.2 homeodomain transcription factor.,Peyre                    Matthieu,15,"Institute of Cancer Research, United Kingdom",2001
Dicker                    Rochelle A.,        Original Contribution       ,,Injury Epidemiology,R Foundation for Statistical Computing,The role of ambient light level in fatal crashes: inferences from daylight saving time transitions,Kisitu                    Dan K.,9,,2002
Li                    Jinyan,,,BMC Bioinformatics,BioMed Central,Principles of protein-protein interactions,Li                    Zhenhua,8,,1996
Bagnoli                    Luana,,,Molecules,MDPI,Tandem Amine Propargylation-Sonogashira Reactions: New Three-Component Coupling Leading to Functionalized Substituted Propargylic Amines,Aziz                    Marian N.,8,,2004
Zilinsky                    Tomas,,,Journal of Occupational and Organizational Psychology,Springer,Project overload: An exploratory study of work and management in multi‐project settings,Waring                    Sara,7,,2006
Tikly                    Mohammed,,,Health and Quality of Life Outcomes,"World Health Organization, Geneva","Impact, distress and HRQol among Malaysian men and women with a mobility impairment",Schneider                    Marguerite,3,,2006
Wu                    Yongjie,,,Oncology Letters,Lanzhou University,Selective killing of cancer cells by,Zhu                    Lijuan,6,,2003
Chen                    Huan,,,Journal of Healthcare Engineering,Hindawi,The importance of psychodynamic approach during COVID-19 pandemic,Bao,5,"Changzhou Second People's Hospital Affiliated to Nanjing Medical University Gastroenterology, Changzhou 213000, Jiangsu, China",2020
Garg                    Manohar L,,,The International Journal of Behavioral Nutrition and Physical Activity,New York: Guildford,Biological dimensions of personality,Munro                    Irene A,4,,1999
Wang                    Edwin,           Oncogenes          ,,PLoS Computational Biology,Public Library of Science,Cumulative Haploinsufficiency and Triplosensitivity Drive Aneuploidy Patterns and Shape the Cancer Genome,Park                    Hyun Jung,4,,2013
Palmer                    Andrew J.,,,PharmacoEconomics Open,Blackwell Science,Are laparoscopic bariatric procedures safe in superobese (BMI ≥ 50 kg/m,Campbell                    Julie A.,6,,2011
Oteo                    José A.,        Systematic Review       ,,Pathogens,Karger,Breakdown of the Blood-Brain Barrier during Tick-Borne Encephalitis in Mice Is Not Dependent on CD8+ T-Cells,Boyer                    Pierre H.,5,,2011
van Heemst                    Diana,        AcademicSubjects/MED00250       ,,Journal of the Endocrine Society,Saunders Elsevier,"Serum albumin and prealbumin in calorically restricted, nondiseased individuals: a systematic review",van der Spoel,3,,2015
Bulzacchelli                    Maria T,,,Malaria Journal,World Health Organization,"Attitudes, knowledge, and practices regarding malaria prevention and treatment among pregnant women in Eastern India",Dhawan                    Gaurav,6,"Department of Public Health, School of Public Health and Health Sciences, University of Massachusetts-Amherst, 715 N. Pleasant St, 01003 Amherst, MA USA",2010
Lee                    Byungwook,        Database Issue       ,,Nucleic Acids Research,Oxford University Press,Annotation of functional variation in personal genomes using RegulomeDB,Yang                    Dongchan,10,"Department of Biological Sciences, KAIST, Daejeon 34141, Korea",2012
Wood                    Nicholas W.,,,Human Molecular Genetics,Oxford University Press,The role of DYT1 in primary torsion dystonia in Europe,Mencacci                    Niccolo E.,16,,1998
Fornito                    Alex,        Comments       ,,JAMA Psychiatry,American Medical Association,The EPPIC follow-up study of first-episode psychosis: longer-term clinical and functional outcome 7 years after index admission,Chopra                    Sidhant,18,,2010
Lalani                    S. R.,,,Orphanet Journal of Rare Diseases,BioMed Central,Functional consequences of a CKIdelta mutation causing familial advanced sleep phase syndrome,Probst                    F. J.,19,,2005
Winssinger                    Nicolas,,,Nature Communications,Nature Publishing Group,"PPAR gamma signaling and metabolism: the good, the bad and the future",Lagoutte                    Roman,6,,2013
Bontrop                    Ronald E.,,,Frontiers in Immunology,Frontiers Media S.A.,Combinations of Maternal KIR and Fetal HLA-C Genes Influence the Risk of Preeclampsia and Reproductive Success,Bruijnesteijn                    Jesse,4,,2004
Hovatta                    Outi,         Reproductive biology        ,,"Human Reproduction (Oxford, England)",Oxford University Press,Cryopreservation of human embryonic stem cells by vitrification,Holm                    Frida,9,,2004
Izquierdo-Gomez                    Rocio,,,International Journal of Environmental Research and Public Health,Jossey-Bass,Active commuting from youth to adulthood and as a predictor of physical activity in early midlife: The young Finns study,Herrador-Colmenero,14,,2014
Lu,,,Journal of Oncology,Hindawi,An inhibitor of GSK3B and HDACs kills pancreatic cancer cells and slows pancreatic tumor growth and metastasis in mice,He,8,,2018
Borrow                    Ray,           Economic Impact Analysis          ,,PLoS ONE,Public Library of Science,The global impact of non-communicable diseases on macro-economic productivity: a systematic review,Foo                    Jason,10,,2015
Buday                    Laszlo,          Classical Immunology         ,,PLoS ONE,Public Library of Science,The “A Disintegrin And Metalloproteases” ADAM10 and ADAM17: novel drug targets with therapeutic potential?,Ebsen                    Henriette,5,,2011
Wang                    Dennis Y.,,,International Journal of Legal Medicine,"Prentice-Hall, Inc.","Male amelogenin dropouts: phylogenetic context, origins and implications",Ludeman                    Matthew J.,7,,2007
Hawkins                    Ralph G.,,,Healthcare,Government of Canada,Economic impact of Lyme disease,Lloyd                    Vett K.,2,,2006
Brand                    Stefan-Martin,,,Oncotarget,Impact Journals LLC,Comparison of Methods for miRNA Extraction from Plasma and Quantitative Recovery of RNA from Cerebrospinal Fluid,Schmitz                    Boris,9,,2013
Yang                    Hyun-Jeong,        Observational Study       ,,Medicine,Lippincott Williams & Wilkins,Association between telomere length and hepatic fibrosis in non-alcoholic fatty liver disease.,Sung                    Min-Kyu,11,,2021
Boshoff                    Chris,,,The Journal of Investigative Dermatology,Nature Publishing Group,Real-time,Nikitenko                    Leonid L,10,,2011
Kwok,,,International Journal of Environmental Research and Public Health,Roessingh Research and Development,Effect of pelvic forward tilt on low back compressive and shear forces during a manual lifting task,Lui                    Tim K. S.,3,,2016
Ullman,        1719       ,,BMJ Open,Queensland Government,Laboratory diagnosis of intravascular catheter associated sepsis,McBride,10,,1989
Tarabeih,        Original Paper       ,,Journal of Religion and Health,Springer,Voluntary Information and knowledge “hiding” in a conservative community and its consequences: The case of the Ultra-Orthodox in Israel,Gabay,2,,2020
Smalbrugge                    Martin,,,Gerontology and Geriatric Medicine,Rand Health,The revised index for social engagement in long-term care facilities: A psychometric study,van der Krogt,5,"Department of Medicine for Older People, Amsterdam Public Health Research Institute,",2017
Hiller                    Janet E,,,BMC Health Services Research,Oxford: Oxford University Press,National use of thrombolysis with alteplase for acute ischaemic stroke via telemedicine in Denmark: a model of budgetary impact and cost effectiveness,Wade                    Victoria A,4,,2008
Albright                    Karen,,,Implementation Science : IS,Routledge,From classification to causality: advancing understanding of mechanisms of change in implementation science,Lewis                    Cara C.,4,,2018
Borel                    Nicole,,,International Journal of Microbiology,"Institute for Veterinary Pathology, University of Zurich",Culture-independent genome sequencing of clinical samples reveals an unexpected heterogeneity of infections by,Leonard                    Cory Ann,3,,2015
Yu                    Ming-Lung,            Steatosis           ,,PLoS ONE,Public Library of Science,EASL-EASD-EASO Clinical Practice Guidelines for the management of non-alcoholic fatty liver disease,Chen,13,,2016
Ryu                    Wang-Shick,            Hepatitis Delta           ,,PLoS ONE,Springer+Business Media,"Activation of the dsRNA-dependent protein kinase, PKR, induces apoptosis through FADD-mediated death signaling.",Han                    Ziying,6,"Yonsei University, Republic of Korea",1998
Foo                    Roger SY,,,BMC Genomics,BioMed Central,CpG islands in vertebrate genomes,Choy                    Mun-Kit,6,,1987
Krzewski                    Konrad,,,The Journal of Allergy and Clinical Immunology,University of Seattle,Vesicular trafficking through cortical actin during exocytosis is regulated by the Rab27a effector JFC1/Slp1 and the RhoA-GTPase-activating protein Gem-interacting protein,Gil-Krzewska                    Aleksandra,10,,2012
Liles                    W. Conrad,         Brief Definitive Reports        ,,The Journal of Experimental Medicine,The Rockefeller University Press,Fas ligation triggers apoptosis in macrophages but not endothelial cells,Kiener                    Peter A.,7,From the,1994
Estevez                    Francisco,,,International Journal of Molecular Sciences,MDPI,Global effects of DDX3 inhibition on cell cycle regulation identified by a combined phosphoproteomics and single cell tracking approach,Chen                    Chiao-Che,6,,2018
Yang,,,Nature Communications,Nature Publishing Group UK,TRAF4 promotes fibroblast proliferation in keloids by destabilizing p53 via interacting with the deubiquitinase USP10,Deng,11,,2019
Fan                    Yue,,,BioMed Research International,Hindawi Publishing Corporation,Improved branch and bound algorithm for detecting SNP-SNP interactions in breast cancer,Wang                    Xiao,3,"Systems Engineering Institute and School of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi 710049, China",2013
Kyprianou                    Natasha,,,PLoS ONE,Public Library of Science,The ETS domain transcription factor ELK1 directs a critical component of growth signaling by the androgen receptor in prostate cancer cells,Kanaoka                    Ryuhei,14,,2013
Chen                    Leilei,        RNA and RNA-protein complexes       ,,Nucleic Acids Research,Oxford University Press,Down-regulation of RNA editing in pediatric astrocytomas: ADAR2 editing activity inhibits cell migration and proliferation,Hong                    HuiQi,15,,2008
Asghar Pur                    Sepide,,,Iranian Journal of Basic Medical Sciences,Lippincott :Williams & Wilkins,The NPY/AgRP neuron and energy homeostasis,Ebrahimi                    Mohsen,5,,2001
Nilsson                    Stefan,,,BMC Health Services Research,"Thesis, Linnaeus University Press",The need of trust and safety inducing encounters: a qualitative exploration of women’s experiences of seeking perinatal care when living as undocumented migrants in Sweden,Patriksson,4,,2018
Chambers                    Mark G.,,,Pharmacology Research & Perspectives,John Wiley and Sons Inc.,Phenyl or Pyridyl Amide Compounds as Prostaglandin E2 Antagonists,Chandrasekhar                    Srinivasan,15,,2005
Matic                    Ivan,,,Cell Reports,Cell Press,Histone modifications: crucial elements for damage response and chromatin restoration,Bartlett                    Edward,7,,2010
Matsunami                    Hiroaki,        Neuroscience/Theoretical Neuroscience       ,,PLoS ONE,Oxford University Press,Discrimination of planar surface slant from texture: human and ideal observers compared.,Hospedales                    Timothy,3,"Duke Unviersity, United States of America",1998
Meiring                    Tracy L.,,,Papillomavirus Research,HPV Information Centre,Chlamydia trachomatis infection: implications for HPV status and cervical cancer,Onywera                    Harris,5,,2014
Schmaal                    Lianne,,,Human Brain Mapping,Oxford University Press,Pilot investigation of the relationship between hippocampal volume and pattern separation deficits in multiple sclerosis,Sämann                    Philipp G.,18,,2018
Marz                    Manja,,,Viruses,MDPI,Technical Note on Transcription Factor Motif Discovery from Importance Scores (TF-MoDISco) Version 0.5.6.5,Lal,9,,2018
Brun                    Paola,,,International Journal of Molecular Sciences,MDPI,Development of gut microbiota and bifidobacterial communities of neonates in the first 6 weeks and their inheritance from mother,Ding                    Mengfan,9,,2021
Deforche                    Benedicte,,,BMC Public Health,"Thousand Oaks, California: Sage Publications",Gender and race are significant determinants of students’ food choices on a college campus,Deliens                    Tom,4,,1998
Riley                    T V,,,New Microbes and New Infections,BlackWell Publishing Ltd,Increasing incidence of,Foster                    N F,8,,2014
Zhang                    Jian,,,Aging (Albany NY),Impact Journals,GEPIA: a web server for cancer and normal gene expression profiling and interactive analyses.,Xie                    Zhenyu,9,,2017
Li                    Quhuan,,,Frontiers in Immunology,Frontiers Media S.A.,Mast cells in the kidney,Fan                    Zuyan,6,,2003
Collins                    Sean M.,,,Journal of Physical Therapy Science,The Society of Physical Therapy Science,Neutrophil accumulation following passive stretches contributes to adaptations that reduce contraction-induced skeletal muscle injury in mice,Wu                    Yi-Ning,3,,2008
Nusca                    Annunziata,           Helicobacter Pylori          ,,PLoS ONE,Public Library of Science,Benchmarks for the assessment of novel cardiovascular biomarkers,Wu                    Yina,8,,2007
Perreault                    Eric J.,,,Journal of NeuroEngineering and Rehabilitation,BioMed Central,Proprioception deficits in chronic stroke-Upper extremity function and daily living,Wang,5,,2018
Dunning Hotopp                    Julie C.,,,BMC Bioinformatics,R Foundation for Statistical Computing,Fast folding and comparison of RNA secondary structures,Sieber                    Karsten B.,3,,1994
Lee,,,International Journal of Environmental Research and Public Health,Springer,Necessity of cycloplegia for assessing refractive error in 12-year-old children: A population-based study,Do,11,,2007
LI,,,Turkish Journal of Medical Sciences,The Scientific and Technological Research Council of Turkey,TMEM16A and myocardin form a positive feedback loop that is disrupted by KLF5 during Ang II-induced vascular remodeling,LU,4,,2015
Ma                    Zhanshan (Sam),,,Computational and Structural Biotechnology Journal,"Longman, Rees, Orme, Brown, Green and Longman","The species–area relationship: an exploration of that ‘most general, yet protean pattern’",Li                    Wendy,2,,2012
Ross-Ibarra                    Jeffrey,        Genomics       ,,PeerJ,Academic Press,"Molecular disease, evolution, and genic heterogeneity",Amos                    William,3,,1962
