article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Casulli                 Adriano,,PLoS Neglected Tropical Diseases,1935-2735,Public Library of Science,Italy,Acceptance letter,Tamarozzi                    Francesca,14,,2016,"RC received a grant (BIRD174940), by the Department of Animal Medicine, Production and Health of the University of Padova (, https://www.maps.unipd.it/",,,PMC7440662, ,
research-article,Grimm                 Marcus O. W.,,Biomolecules,2218-273X,MDPI,Article,Monocytes in the Peripheral Clearance of Amyloid-β and Alzheimer’s Disease,Chiurchiù                    Valerio,7,,2019,,,,PMC8066292, ,
research-article,Fung,,BMC Ophthalmology,1471-2415,BioMed Central,Research Article,Visual outcome after open globe injury: a comparison of two prognostic models--the ocular trauma score and the classification and regression tree,Ho                    Haochi,7,,2010,,Macquarie University Hospital,,PMC8037828, ,
research-article,Hietbrink                 Falco,,World Journal of Critical Care Medicine,2220-3141,Baishideng Publishing Group Inc,Evidence-Based Medicine,Longitudinal analysis of one million vital signs in patients in an academic medical center,Plate                    Joost DJ,4,"Division of Surgery, University Medical Centre Utrecht, Utrecht University, Utrecht 3584 CX, The Netherlands",2011,,,,PMC6081388, ,
research-article,FIDLER MIS                 Nataša,,Slovenian Journal of Public Health,1854-2476,EuroFIR,Original Scientific Article,Overview of computerized dietary assessment programs for research and practice in nutrition education overview of computerized dietary assessment programs for research,BENEDIK                    Evgen,7,,2005,,,,PMC4820173, ,
research-article,Kou                 Yu Ru,,PLoS ONE,1932-6203,Springer Science & Business Media,Ambulances,An empirical study of a hospital-based home care program,Fan,9,,1985,"http://dx.doi.org/10.13039/501100001078, Queensland Emergency Medicine Research Foundation, QEMRF-PORJ-2009-014, Lukin, Bill, Natural Science Foundation of China, NSFC 71704192, http://orcid.org/0000-0001-5863-0169, Fan, Lijun, This work was funded by the Queensland Emergency Medicine Research Foundation (QEMRF) (Project ID: QEMRF-PORJ-2009-014, Title: A Comprehensive Evaluation of a Hospital in Nursing Home Program in Three Queensland Hospitals, URL:, http://emergencyfoundation.org.au/",Natural Science Foundation of China,NSFC 71704192,PMC6029796, ,
research-article,Zhang                 Bao,,Journal of Experimental & Clinical Cancer Research : CR,1756-9966,BioMed Central,Research,Prognostic value of MET protein overexpression and gene amplification in locoregionally advanced nasopharyngeal carcinoma,Wang                    Fan,9,,2015,"http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, U1132003, Li, Xiangping",National Natural Science Foundation of China,U1132003,PMC4722718, ,
research-article,Mahmood                 Naveed M.,,Saudi Medical Journal,0379-5284,Saudi Medical Journal,Original Article,Cost-effectiveness analysis of universal screening for thyroid disease in pregnant women in Spain,Al Shanqeeti                    Shatha A.,6,,2015,,,,PMC5893914, ,
review-article,Hashmi                 Shahrukh,,Clinical Hematology International,2590-0048,WHO,Review Article,European Guidelines for Quality Assurance in Cervical Cancer Screening. Second edition—summary document,Tanweer                    Mohammad Shahrukh,5,,2010,,,,PMC8432365, ,
research-article,Suresh                 Aneesh,,Cureus,2168-8184,Cureus,Other,"Selective release of cytokines, chemokines, and growth factors by minced skin in vitro supports the effectiveness of autologous minced micrografts technique for chronic ulcer repair",Muacevic                    Alexander,5,,2012,,,,PMC9034767, ,
review-article,Pincus                 Seth,,Vaccines,2076-393X,MDPI,Review,"Neutralization of SARS-CoV-2 spike 69/70 deletion, E484K and N501Y variants by BNT162b2 vaccine-elicited sera",Yu                    Sicong,8,,2021,,,,PMC8229804, ,
research-article,Derfuss                 Tobias,,PLoS ONE,1932-6203,Saunders Elsevier,Myelitis,Ischemic Stroke of the Spinal Cord: A Pediatric Emergency in an Otherwise Healthy Child,Cortese,16,,2016,"This work was funded by the Centers for Disease Control and Prevention (CDC), which did not play a role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript and only provided financial support in the form of authors’ salaries and project materials. A.K. was employed by IHRC, Inc., a contracting agency to CDC. IHRC provided support in the form of salary for A.K. but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific role of AK is articulated in the ‘author contributions’ section.",,,PMC7018000, ,
research-article,Wannamethee                 S. Goya,,BMC Geriatrics,1471-2318,BioMed Central,Research,"Frailty and risk of cardiovascular diseases in older persons: the age, gene/environment susceptibility-Reykjavik study",McKechnie                    Douglas G. J.,9,,2017,,Population Health Research Institute St George’s University of London,,PMC9082861, ,
research-article,Li,,Nucleic Acids Research,1362-4962,Springer-Verlag,Database Issue,Circumventing cancer drug resistance in the era of personalized medicine,Liu                    Zhongyang,18,,2012,"National Key Research and Development Program of China, 10.13039/501100012166, 2020YFE0202200, 2017YFC1700105, National Natural Science Foundation of China, 10.13039/501100001809, 32088101, 31871341, State Key Laboratory of Proteomics of China, SKLPO202010, Beijing Talents foundation",Beijing Talents foundation,SKLPO202010,PMC8728209, ,China
research-article,Beato Zambrano                 Carmen,,Biomedical Reports,2049-9442,D.A. Spandidos,Articles,A phase II study of trastuzumab emtansine in HER2-positive non-small cell lung cancer,Hernández-Pacheco Acosta                    Rocío,5,"Department of Medical Oncology, Virgen Macarena University Hospital, 41009 Seville, Spain",2018,Funding:,,,PMC8972834, ,
research-article,Saggio                 Giovanni,,"Sensors (Basel, Switzerland)",1424-8220,Elsevier,Article,"Toward Intuitive Prosthetic Control: Solving Common Issues Using Force Myography, Surface Electromyography, and Pattern Recognition in a Pilot Case Study",Kim,9,,2017,"Korea Institute of Machinery and Materials, NK238F, Defense Acquisition Program Administration and Ministry of Trade, Industry and Energy of Korean government, 21-SF-GU-07, This research was financially supported by a major project of the Korea Institute of Machinery and Materials (Project ID: NK238F) and the Institute of Civil Military Technology Cooperation funded by the Defense Acquisition Program Administration and Ministry of Trade, Industry and Energy of Korean government under grant No. 21-SF-GU-07.",,21-SF-GU-07,PMC9608765, ,
research-article,Bartsch                 Jörg W.,,International Journal of Molecular Sciences,1422-0067,MDPI,Article,"In Vitro Phenotypic, Genomic and Proteomic Characterization of a Cytokine-Resistant Murine β-TC3 Cell Line",Buttacavoli,8,,2012,,,,PMC8622288, ,
research-article,Sawa                 Yoshiki,,Molecular Therapy. Methods & Clinical Development,2329-0501,American Society of Gene & Cell Therapy,Original Article,Construction of 3D cardiac tissue with synchronous powerful beating using human cardiomyocytes from human iPS cells prepared by a convenient differentiation method,Tadano                    Kiyoshi,8,,2020,,,,PMC8408525, ,
research-article,Van Dillen                 Linda R.,,BioMed Research International,2314-6141,Saunders,Clinical Study,Movement system impairment-based categories for low back pain: stage 1 validation,Scholtes                    Sara A.,4,,2003,,,,PMC3747432, ,
research-article,Barton                 Nigel,,European Journal of Epidemiology,1573-7284,Springer Netherlands,Review,Horizon Europe. Towards a European agenda for global health research and innovation,Gallo                    Federica,4,,2019,ASL CN1,ASL CN1,,PMC7671576, ,
research-article,Bickel                 Warren K.,,Journal of Behavioral Medicine,1573-3521,Springer US,Article,Carbohydrate-restricted versus low-glycemic-index diets for the treatment of insulin resistance and metabolic syndrome,Epstein,9,,2009,"http://dx.doi.org/10.13039/100000062, National Institute of Diabetes and Digestive and Kidney Diseases, 1UH2DK109543, Epstein, Leonard H.",National Institute of Diabetes and Digestive and Kidney Diseases,1UH2DK109543,PMC8744570, ,
review-article,Ebbers                 Tino,,Journal of Cardiovascular Magnetic Resonance,1532-429X,International Society for Magnetic Resonance in Medicine,Review,Four-dimensional magnetic resonance velocity mapping of blood flow patterns in the aorta in patients with atherosclerotic coronary artery disease compared to age-matched normal subjects,Markl                    Michael,3,,2004,,,,PMC3025879, ,
research-article,Liu                 Ming,,OncoTargets and therapy,1178-6930,Dove,Original Research,Cell surface-localized matrix metalloproteinase-9 proteolytically activates TGF-beta and promotes tumor invasion and angiogenesis,Wang                    Yunfeng,5,,2000,,Department of General Surgery The Fourth Affilliated Hospital of Harbin Medical University,81372612 and 81302059,PMC6580140, ,People’s Republic of China
research-article,Li,,Evidence-based Complementary and Alternative Medicine : eCAM,1741-4288,Hindawi,Research Article,RUNX3 inhibits the metastasis and angiogenesis of colorectal cancer,Xue,9,,2016,"Mandatory Planning Project of Scientific and Technological Bureau, 1712005D",,1712005D,PMC7063181, ,
review-article,Xu                 Ling,,OncoTargets and therapy,1178-6930,Dove Medical Press,Review,MicroRNA-9 inhibits ovarian cancer cell growth through regulation of NF-kappaB1,Liu                    Xiaodan,5,,2009,,,,PMC4883817, ,
research-article,Martínez-Villaluenga                 Cristina,,Frontiers in Plant Science,1664-462X,Academic Press,Original Research,Digestion and absorption of ferulic acid sugar esters in rat gastrointestinal tract,Tomé-Sánchez                    Irene,7,,2003,"Agencia Estatal de Investigación, 10.13039/501100011033",Agencia Estatal de Investigación,,PMC8740022, ,Spain
research-article,Ahmadi,,Computational Intelligence and Neuroscience,1687-5273,Springer,Research Article,Record2Vec: unsupervised representation learning for structured records,Chakraborty,6,,2018,,,,PMC9019419, ,
review-article,Opoka-Winiarska                 Violetta,,International Journal of Molecular Sciences,1422-0067,MDPI,Review,"An Anti-CD3 Antibody, Teplizumab, in Relatives at Risk for Type 1 Diabetes",Ben-Skowronek,8,"Department of Paediatric Endocrinology and Diabetology with Endocrine-Metabolic Laboratory, Medical University in Lublin, Prof. A. Gebala Street 6, 20-093 Lublin, Poland;",2019,,,,PMC8745590, ,
research-article,Singh                 Rana Pratap,,PLoS ONE,1932-6203,Public Library of Science,Cancer Prevention,Decursin and decursinol angelate inhibit VEGF-induced angiogenesis via suppression of the VEGFR-2-signaling pathway.,Kwon                    Yi-Hong,8,"Jawaharlal Nehru University, India",2009,,,,PMC3322124, ,
research-article,Boyacı,,Restorative Dentistry & Endodontics,2234-7666,The Korean Academy of Conservative Dentistry,Research Article,"Comparative dissolution rates of enamel, dentin, and bone. I. Effect of the organic matter",Küçükkaya Eren,5,,1966,,,,PMC5816988, ,Turkey
research-article,Huang                 Yunchao,,Aging (Albany NY),1945-4589,Impact Journals,Research Paper,MicroRNAs: predictors and modifiers of chemo- and radiotherapy in different tumour types.,Zhou                    Yongchun,11,,2010,,,,PMC6781974, ,
brief-report,Wang                 Ling-Ling,,Nanoscale Research Letters,1556-276X,Springer US,Nano Express,Realization of tunable plasmon-induced transparency by bright-bright mode coupling in Dirac semimetals,Su                    Yi,4,,2017,"http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, 61505052, 61176116, 11074069, 61775055, Wang, Ling-Ling",National Natural Science Foundation of China,"61505052, 61176116, 11074069, 61775055",PMC6170250, ,
research-article,Weber                 Yvonne,,Neurology,1526-632X,World Health Organization,Research Article,Clinical spectrum and genotype-phenotype associations of KCNA2-related encephalopathies,Schwarz,48,"From the Departments of Neurology and Epileptology (N.S., S.S., U.B.S.H., H.L., Y.W.) and Neurodegenerative Diseases (E.L.), Hertie-Institute for Clinical Brain Research, University of Tübingen; Institute of Clinical Molecular Biology (M.P., I.H.), Christian-Albrechts-University of Kiel; Departments of Neuropediatrics (M.P., A.V.R., H.M., I.H.) and Pediatrics I (A.V.R.), University Medical Center Schleswig-Holstein, Christian-Albrechts-University, Kiel; Cologne Center for Genomics (T.B., D.L.), University of Cologne, Germany; Epilepsy Center SEIN (P.B.A.), Heemstede, the Netherlands; Epilepsiezentrum Bodensee (H.B.), Weissenau, Germany; Department of Genetics and Precision Medicine (A.B.), Danish Epilepsy Centre, Dianalund, Denmark; IRCCS Istituti delle Scienze Neurologiche di Bologna (F.B., L.L., R.M., P.T.); Department of Biomedical and Neuromotor Sciences (F.B., L.L., P.T.), University of Bologna, Italy; Department of Biomedical Sciences (R.J.B.), Cooper Medical School of Rowan University, Camden, NJ; Pediatric Neurology Unit (B.Z.B., G.H.), Edmond and Lily Safra Children's Hospital, Chaim Sheba Medical Center, Ramat Gan; Sackler School of Medicine (B.Z.B., G.H.), Tel Aviv University, Israel; FutureNeuro SFI Research Centre (M.G.D., H.K.) and Department of Neurology, Beaumont Hospital (M.G.D., H.K.), Royal College of Surgeons in Ireland; StAR MD Programme (M.G.D.), Royal College of Surgeons in Ireland in collaboration with Blackrock Clinic, Dublin, Ireland; Pediatric Neurology, Neurogenetics and Neurobiology Unit and Laboratories, and Department of Neuroscience (R.G., A.V.), A. Meyer Children's Hospital, University of Florence; IRCCS Istituto Giannina Gaslini (M.I., P. Striano), Genova, Italy; Epilepsy Center Frankfurt Rhine-Main, Department of Neurology (K.M.K., P.S.R., F. Rosenow), University Hospital Frankfurt; LOEWE Center for Personalized Translational Epilepsy Research (CePTER) (K.M.K., P.S.R., F. Rosenow), Goethe-University Frankfurt, Germany; Departments of Clinical Neurosciences, Medical Genetics, and Community Health Sciences (K.M.K.), Hotchkiss Brain Institute & Alberta Children’s Hospital Research Institute, Cumming School of Medicine, University of Calgary, Canada; Department of Neurobiology and Epilepsy Center (I.K., S.S.P.), The Cyprus Institute of Neurology and Genetics, Nicosia; Institute of Experimental Epileptology and Cognition Research and Department of Epileptology (W.S.K.), University of Bonn, Germany; Division of Medical Genetics, Department of Pediatrics (M.M., S.M.), Duke University, Durham, NC; CeGaT GmbH and Praxis für Humangenetik Tübingen (L.M.), Germany; Division Biomedical Genetics (R.O.), University Medical Center Utrecht, the Netherlands; The Genomic Unit, Sheba Cancer Research Center (B.O.), Cancer Research Center, Wohl Institute for Translational Medicine (B.O.), and The Institute for Rare Diseases, The Edmond and Lily Safra Children's Hospital (A.R.), Sheba Medical Center, Tel Hashomer, Israel; Medical School (S.S.P.), University of Nicosia, Cyprus; Department of Pediatric Neuroscience (F. Ragona, T.G.), Fondazione IRCCS Istituto Neurologico Carlo Besta, Member of the ERN EpiCARE, Milan, Italy; Sheba Medical Center, Tel-Hashomer; Sackler Faculty of Medicine (A.R.), Tel Aviv University, Israel; Departments of Neurosciences, Rehabilitation, Ophthalmology, Genetics, and Maternal and Child Health (P. Scudieri, P. Striano, F. Zara), University of Genova, Italy; Clinical Genetics and Genomics Department (G.A.T.), The Cyprus Institute of Neurology and Genetics, Nicosia; Department of Neurology (F. Zahnert), Epilepsy Center Hessen, Philipps-University Marburg, Germany; Division of Neurology (E.M.G., I.H.), The Epilepsy NeuroGenetics Initiative (ENGIN) (E.M.G., I.H.), and Department of Biomedical and Health Informatics (DBHi) (I.H.), Children's Hospital of Philadelphia, PA; Epilepsy Center, Neurological Institute (D.L.), and Genomic Medicine Institute, Lerner Research Institute (D.L.), Cleveland Clinic, OH; Stanley Center for Psychiatric Research (D.L.), The Broad Institute of Harvard and MIT, Cambridge, MA; Analytic and Translational Genetics Unit (D.L.), Massachusetts General Hospital, Boston; Luxembourg Centre for Systems Biomedicine (P.M.), University Luxembourg; Department of Neurology (I.H.), Perelman School of Medicine, University of Pennsylvania, PA; and Department of Epileptology and Neurology (Y.W.), University of Aachen, Germany.",2017,,,,PMC9162046, ,
research-article,Suzuki                 Nao,,Journal of Assisted Reproduction and Genetics,1573-7330,Elsevier Academic Press,Technological Innovations,Megahertz OCT for ultrawide-field retinal imaging with a 1050 nm Fourier domain mode-locked laser,Takae                    Seido,9,,2011,,St. Marianna University School of Medicine,,PMC5949120, ,
research-article,Ding                 Jian,,Acta Pharmacologica Sinica,1745-7254,Springer Singapore,Article,Functional and clinical relevance of VLA-4 (CD49d/CD29) in ibrutinib-treated chronic lymphocytic leukemia,Lai                    Meng-zhen,9,,2018,,East China University of Science and Technology,,PMC7468319, ,
review-article,Rizzo                 William B.,,Cells,2073-4409,Springer,Review,A Novel de Novo Dominant Negative Mutation in DNM1L Impairs Mitochondrial Fission and Presents as Childhood Epileptic Encephalopathy,Carmichael,5,,2016,"Biotechnology and Biological Sciences Research Council, BB/R016844/1, BB/T002255/1, This work was supported by grants from the Biotechnology and Biological Sciences Research Council (BB/R016844/1, BB/T002255/1 to M.S.). R.E.C. is supported by BBSRC (BB/R016844/1). For the purpose of open access, the author has applied a Creative Commons Attribution (CC BY) licence to any Author Accepted Manuscript version arising.",,BB/T002255/1,PMC9221819, ,
research-article,Zacharis                 Constantinos K.,,Molecules,1420-3049,MDPI,Article,Evaluation of a LC-MS method for everolimus preclinical determination in brain by using [(13)C2D4]RAD001 internal standard,Zheng                    Min,7,,2015,"Natural Science Foundation of Hebei Province, H2022329002, Central Government guides the development of local science and technology project of Hebei Province, 226Z7708G, Department of Health of Hebei province, 20201430, This research was funded by the Natural Science Foundation of Hebei Province, grant number H2022329002, the Central Government guides the development of local science and technology project of Hebei Province, grant number 226Z7708G, and the Department of Health of Hebei province, grant number 20201430.",,20201430,PMC9268670, ,
research-article,Falcone                 Tommaso,,JSLS : Journal of the Society of Laparoendoscopic Surgeons,1938-3797,Society of Laparoendoscopic Surgeons,Scientific Papers,Robotic radical hysterectomy: comparison with laparoscopy and laparotomy,Bedaiwy                    Mohamed A.,3,"Obstetrics-Gynecology and Women's Health Institute, Cleveland Clinic, Cleveland, Ohio, USA.",2008,,,,PMC3134681, ,
research-article,Huang                 Hailong,,Journal of Translational Medicine,1479-5876,BioMed Central,Research,Prenatal diagnosis using chromosomal SNP microarrays,Cai                    Meiying,9,,2019,"http://dx.doi.org/10.13039/501100005270, Fujian Provincial Department of Science and Technology, 2020GGA020, Cai, Meiying",Fujian Provincial Department of Science and Technology,2020GGA020,PMC8994287, ,
research-article,Xu                 Xun,,Clinical Interventions in Aging,1178-1998,World Health Organization,Original Research,Longitudinal Associations Between Visual Impairment and Cognitive Functioning: the Salisbury Eye Evaluation Study,Shen                    Hangqi,9,,2018,"National Natural Science Foundation of China, 10.13039/501100001809, National Key R&D Program of China, National Science and Technology Major Project of China, This work was financially supported by grants from the National Natural Science Foundation of China (81970810, 81500714, 81670465, 81600577, 81800835, 81970811, 82002891), the National Key R&D Program of China (2016YFC0904800, 2018YFC2000400, 2018YFC2002000, 2019YFC0840607), and National Science and Technology Major Project of China (2017ZX09304010).",National Science and Technology Major Project of China,,PMC8164868, ,People’s Republic of China
research-article,Palla                 Aparna,,Journal of Clinical and Experimental Dentistry,1989-5488,Medicina Oral S.L.,Orthodontics,The effect of microetching on the bond strength of metalbrackets when bonded to previously bonded teeth: An in vitro study,Gupta                    Neeraj,3,,1998,,,,PMC5410676, ,
research-article,Beall                 Bernard,,PLoS ONE,1932-6203,Public Library of Science,Pediatric Pulmonology,Effect of azithromycin maintenance treatment on infectious exacerbations among patients with non-cystic fibrosis bronchiectasis,Hare                    Kim M.,18,,2013,"This work was supported by the National Health and Medical Research Council of Australia (, http://www.nhmrc.gov.au/, http://www.nih.gov/, http://www.nhlbi.nih.gov/, http://science.org.au/, http://www.arc.gov.au/",,,PMC3734249, ,
research-article,Mascaux                 Céline,,BMC Cancer,1471-2407,BioMed Central,Research Article,Role of helicase-like transcription factor (hltf) in the G2/m transition and apoptosis in brain,Dhont                    Ludovic,10,,2013,Boehringer-Ingelheim Fonds (CA),Boehringer-Ingelheim Fonds (CA),701595,PMC5902896, ,
research-article,Wang                 Jianmeng,,Frontiers in Pharmacology,1663-9812,Frontiers Media S.A.,Original Research,Intracellular mechanistic understanding of 2D MoS2 nanosheets for anti-exocytosis-enhanced synergistic cancer therapy.,Niu                    Kai,6,,2018,,Department of Geriatrics The First Hospital of Jilin University,,PMC6102361, ,China
research-article,Ikegaya                 Hiroshi,,Heliyon,2405-8440,Elsevier,Research Article,Dietary and gut microbiota polyamines in obesity- and age-related diseases,Uemura                    Takeshi,3,,2019,,Japan Society for the Promotion of Science,,PMC7512001, ,
research-article,Magnavita                 Nicola,,International Journal of Environmental Research and Public Health,1660-4601,MDPI,Article,Integrating Conservative kidney management Options and advance care Planning Education (COPE) into routine CKD care: a protocol for a pilot randomised controlled trial,Chen                    Hung-Cheng,7,,2021,,,,PMC8751193, ,
review-article,Reisin                 Efrain,,Vascular Health and Risk Management,1178-2048,Dove Medical Press,Review,Obesity-hypertension: the effects on cardiovascular and renal systems,Bravo                    Paco E,5,,2000,,Comprehensive Medicine Department of Internal Medicine Louisiana State University Health Sciences Center,,PMC1993994, ,
review-article,Kalyuzhny                 Alexander E.,,Cells,2073-4409,CRC Press,Review,"Vitamin B12, folic acid, and the nervous system",Hoxha                    Bianka,8,,2006,,,,PMC8394938, ,
research-article,Tchounwou                 Paul B.,,International Journal of Environmental Research and Public Health,1660-4601,MDPI,Article,Considerations for safety in the use of systemic medications for psoriasis and atopic dermatitis during the COVID-19 pandemic,Sieniawska                    Joanna,6,,2020,,,,PMC8835216, ,
research-article,Menkhorst                 Ellen,,Frontiers in Cell and Developmental Biology,2296-634X,Frontiers Media S.A.,Original Research,TSPAN1 upregulates MMP2 to promote pancreatic cancer cell migration and invasion via PLCγ.,Grbac                    Eliza,6,,2019,"National Health and Medical Research Council, 10.13039/501100000925, GNT1098332, 611827, 550905, Rebecca L. Cooper Medical Research Foundation, 10.13039/501100001061, State Government of Victoria, 10.13039/501100004752, University of Melbourne, 10.13039/501100001782",Department of Anatomy and Developmental Biology Monash University,550905,PMC8063028, ,Australia
research-article,Gastaldi                 Ada Clarice,,Canadian Journal of Respiratory Therapy: CJRT = Revue Canadienne de la Thérapie Respiratoire : RCTR,2368-6820,Canadian Society of Respiratory Therapists,Research Article,Clinical review: intensive care unit acquired weakness,Luna                    Esther C. Wilches,3,,2015,,,,PMC8607990, ,
research-article,Llorca                 Javier,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Cumulative risk of breast cancer to age 70 years according to risk factor status: Data from the Nurses’ Health Study,Dierssen-Sotos                    Trinidad,25,,2000,,IMIM (Hospital Del Mar Medical Research Institute),,PMC5813036, ,
research-article,Qin                 Hong-Yan,,BMC Cancer,1471-2407,BioMed Central,Research Article,The transcriptional repression activity of KyoT2 on the Notch/RBP-J pathway is regulated by PIAS1-catalyzed SUMOylation,Fu                    Wei,11,,2007,,,,PMC4077834, ,
research-article,Lewin                 Alfred S,,PLoS ONE,1932-6203,Public Library of Science,Microglial Cells,Identification of inflammatory mediators in patients with rhegmatogenous retinal detachment associated with choroidal detachment,Josifovska                    Natasha,12,,2015,"RN received funding from South-Eastern Norway Regional Health Authority (Helse Sør-Øst). GP received funding from Norwegian Association of the Blind and Partially Sighted. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC6559703, ,
research-article,Baan                 Carla C.,,Frontiers in Immunology,1664-3224,Frontiers Media S.A.,Original Research,"In vitro potency, pharmacokinetic profiles, and pharmacological activity of optimized anti-IL-21R antibodies in a mouse model of lupus",de Leur                    Kitty,6,,2010,,Department of Pulmonary Medicine Erasmus MC University Medical Center,,PMC5357809, ,Netherlands
research-article,Chiaravalloti-Neto                 Francisco,,Scientific Reports,2045-2322,Guilford Press,Article,Controversies in the expansion of areas with routine yellow fever vaccination in Brazil,Lacerda                    Alec Brian,5,,2017,"São Paulo Research Foundation - FAPESP, 2020/01596-8, Chiaravalloti-Neto, Francisco",São Paulo Research Foundation - FAPESP,2020/01596-8,PMC8358007, ,
research-article,Ahmad                 Shama,,PLoS ONE,1932-6203,Public Library of Science,Mucus,Airway acidification initiates host defense abnormalities in cystic fibrosis mice,Sellers,11,,2016,"http://dx.doi.org/10.13039/100000897, Cystic Fibrosis Foundation, SELLER15B0, SELLER16LO, http://orcid.org/0000-0001-5352-7760, Sellers, Zachary M., http://dx.doi.org/10.13039/100000897, Cystic Fibrosis Foundation, ILLEK15P0, ILLEK16G0, Illek, Beate, http://dx.doi.org/10.13039/100000897, Cystic Fibrosis Foundation, WINE17G0, WINE07XXO, Wine, Jeffrey J., Elizabeth Nash Foundation, Illek, Beate, CAPES, 10054-14-6, Figueira, Miriam Frankenthal, This research was supported by the Cystic Fibrosis Foundation (, www.cff.org, http://www.elizabethnashfoundation.org, http://www.capes.gov.br",CAPES,10054-14-6,PMC5744969, ,
review-article,Crockett                 Julie C,,"Drug Design, Development and Therapy",1177-8881,"European Medicines
Agency",Review,"Actualizacion sobre la determinacion de marcadores de remodelado oseo.
[Determination of markers of bone remodeling: an
update.]",Das                    Subhajit,2,"Musculoskeletal Research Programme, School of Medicine and Dentistry,
University of Aberdeen, Aberdeen, UK",2003,,,,PMC3686324, ,
research-article,Cavallari                 Larisa H.,,Clinical and Translational Science,1752-8062,John Wiley and Sons Inc.,Articles,A GRK5 polymorphism that inhibits beta‐adrenergic receptor signaling is protective in heart failure,Dumeny                    Leanne,17,,2008,"National Center for Advancing Translational Sciences of the National Institutes of Health under University of Florida Clinical and Translational Science, TL1TR001428, UL1TR001427, National Heart, Lung, and Blood Institute of the National Institutes of Health, F31HL154563",Nemours Children’s Health,F31HL154563,PMC8932827, ,USA
research-article,Buscail                 Louis,,Endoscopy International Open,2196-9736,© Georg Thieme Verlag KG,Original article,Low progression of intraductal papillary mucinous neoplasms with worrisome features and high-risk stigmata undergoing non-operative management: a mid-term follow-up analysis,Bournet                    Barbara,11,,2016,,CHU Rangueil,,PMC5161125, ,France
research-article,Mahmoud                 Sabry Y.,,Journal of Enzyme Inhibition and Medicinal Chemistry,1475-6374,Taylor & Francis,Research Paper,Apoptosis: a review of programmed cell death,Kassem                    Asmaa F.,7,,2007,,Department of Peptide Chemistry Chemical Industries Research Division National Research Centre,,PMC6691786, ,Egypt
research-article,Schuster-Böckler,,Genome Biology,1474-760X,BioMed Central,Research,deconstructSigs: delineating mutational processes in single tumors distinguishes DNA repair deficiencies and patterns of carcinoma evolution,Tomkova                    Marketa,4,,2018,"http://dx.doi.org/10.13039/100009729, Ludwig Institute for Cancer Research",Ludwig Institute for Cancer Research,EP/F500394/1,PMC6130095, ,
research-article,Jiranek                 William A,,BMC Cell Biology,1471-2121,BioMed Central,Research Article,DRAQ5 labeling of nuclear DNA in live and fixed cells,Maiti                    Aparna,2,,2004,,,,PMC3987888, ,
research-article,Tchounwou                 Paul B.,,International Journal of Environmental Research and Public Health,1660-4601,Dorsey Press,Article,Analysis of metals leached from smoked cigarette litter,Webler                    Thomas,3,,2011,"National Oceanic and Atmospheric Administration Marine Debris, NA18NOS9990036, This research was funded by the National Oceanic and Atmospheric Administration Marine Debris Program (NA18NOS9990036).",,NA18NOS9990036,PMC9265565, ,
research-article,Cosyns                 Bernard,,Diagnostics,2075-4418,MDPI,Article,The left atrium and the right ventricle: Two supporting chambers to the failing left ventricle,Motoc,12,,2019,,,,PMC7761745, ,
research-article,,,Trials,1745-6215,"iMTA, Erasmus Universiteit",Study Protocol,Staged multidisciplinary step-up management for necrotizing pancreatitis,van Grinsven,36,,2014,"Fonds NutsOhra, 1404-044, Besselink, Marc G.",Fonds NutsOhra,1404-044,PMC6482524, ,
research-article,Antal-Szalmas                 Peter,,World Journal of Gastroenterology,2219-2840,Baishideng Publishing Group Inc,Retrospective Study,Macrophage plasticity and polarization: in vivo veritas,Papp                    Maria,8,"Andrea Sumegi, Vascular Biology, Thrombosis and Haemostasis Research Group, Hungarian Academy of Sciences, H-4032 Debrecen, Hungary",2012,,,K115818/2015/1,PMC5107598, ,
research-article,Kim                 Moon Young,,Clinical and Molecular Hepatology,2287-285X,Blackwell Science,Original Article,Angiotensin II receptor antagonists,Kim                    Jae Hyun,12,,2000,"Ministry of Health and Welfare, 100054",,100054,PMC4278069, ,
brief-report,Gillingwater,,The Journal of Clinical Investigation,1558-8238,American Society for Clinical Investigation,Concise Communication,Preliminary observations on the microarchitecture of the human abdominal muscles,Boehm,7,,2007,"Anatomical Society, https://doi.org/10.13039/100012070, PhD Studentship, Anatomy@Edinburgh, Small Project Grant, Royal College of Surgeons of Edinburgh, https://doi.org/10.13039/501100000692, Small Project Grant, Cancer Research UK, https://doi.org/10.13039/501100000289, N/A, Chief Scientist Office, https://doi.org/10.13039/501100000589, NRS Clinician Post, Biotechnology and Biological Sciences Research Council, https://doi.org/10.13039/501100000268, ISPG/1 18-22, Biotechnology and Biological Sciences Research Council, https://doi.org/10.13039/501100000268, ISPG/5 12-17",Biotechnology and Biological Sciences Research Council,ISPG/5 12-17,PMC7269586, ,
